role1	role2	genomes
LSU ribosomal protein L22p (L17e)	LSU ribosomal protein L6p (L9e)	1121447.3,2490941.3,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,41978.26,445932.6,479434.6,1123388.3,1560006.3,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L26e (L24p)	LSU ribosomal protein L9e (L6p)	415426.13,406327.12,64091.14,349307.15,397948.10,436308.17,272844.11,374847.13,1435377.6,263820.9,339860.19
LSU ribosomal protein L23e (L14p)	LSU ribosomal protein L3e (L3p)	415426.13,64091.14,1915863.3,349307.15,436308.17,272844.11,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L24p (L26e)	LSU ribosomal protein L2p (L8e)	1121447.3,2490941.3,247481.57,1882918.15,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,754252.34,1121911.3,1961371.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,1560006.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L27Ae (L15p)	LSU ribosomal protein L7e (L30p)	415426.13,406327.12,64091.14,349307.15,228908.8,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
Twitching motility protein PilT	Type IV fimbrial assembly protein PilC	2605989.3,583355.3,2183990.3,980251.5,1521403.3,1332188.3,1002870.3,2597224.3,2030824.4,1945871.3,394503.7,1432327.4,454171.5,1609969.5,166793.3,379066.3,2003555.3,1946798.3,1121911.3,266117.10
Flagellar biosynthesis protein FlhF	Flagellar biosynthesis protein FliQ	1639.4260,1491.958,2597224.3,479434.6,2030824.4,157176.8,309798.4,159.151,394503.7,379066.3,796939.3,795359.3,166.4,1121911.3,1947072.3,679936.5
LSU ribosomal protein L33p	Transcription antitermination protein NusG	1737569.3,572547.3,210.5028,157176.8,525904.6,159.151,1609969.5,521095.6,1805053.3,795359.3,525909.11,137778.5,754252.34,266117.10,1639.4260,2605989.3,608534.3,28227.8,926569.3,41978.26,445932.6,1002870.3,1260.19,479434.6,1123388.3,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,1491.958,2597224.3,673862.3,1408281.4,655811.4,190304.8,379066.3,796939.3,1946251.3,1423720.4,1919250.3,1946294.3,1946269.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1946522.3,679936.5
Flagellar biosynthesis protein FlhF	Flagellar biosynthesis protein FliP	1639.4260,1491.958,2597224.3,479434.6,2030824.4,157176.8,309798.4,159.151,394503.7,796939.3,795359.3,166.4,1121911.3,1947072.3,679936.5
16S rRNA processing protein RimM	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)	1121447.3,2490941.3,557993.3,1882918.15,2183990.3,1737569.3,572547.3,210.5028,36868.4,1294039.3,1408417.3,521095.6,59196.3,2024841.10,525909.11,754252.34,1121911.3,266117.10,1639.4260,608534.3,1262806.3,2069310.3,41978.26,1260.19,479430.3,1123388.3,518.42,394503.7,454171.5,1391995.3,2003555.3,1560006.3,37692.4,376620.10,1491.958,2023178.18,655811.4,2067454.3,1647103.3,489703.3,190304.8,1946934.3,379066.3,796939.3,1749045.3,203907.6,2702.133,727.1550,1423720.4,1401685.3,1437881.3,938289.3,126741.4,166793.3,295596.4,679936.5
Flagellar biosynthesis protein FlhF	Flagellar biosynthesis protein FliR	1121447.3,1639.4260,1491.958,2597224.3,479434.6,157176.8,309798.4,159.151,394503.7,126741.4,379066.3,796939.3,795359.3,166.4,679936.5
Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	Protein translocase subunit SecD	1639.4260,2183990.3,1491.958,1262806.3,2069310.3,572547.3,479430.3,309798.4,1294039.3,1805053.3,166793.3,1884905.18,2003555.3,1946251.3,525909.11,1946522.3,754252.34,1121911.3,266117.10
tRNA-Glu-TTC	tRNA-Met-CAT	406327.12,1946283.3,1946294.3,309798.4,655811.4,1946269.3,394503.7,938289.3,190304.8,796939.3,795359.3,1946251.3,1946798.3,339860.19
Flagellar biosynthesis protein FliP	Flagellar biosynthesis protein FliR	557993.3,2183990.3,1491.958,2023178.18,2597224.3,157176.8,309798.4,159.151,36868.4,1647103.3,489703.3,379066.3,796939.3,795359.3,525909.11,1639.4260,2605989.3,479434.6,518.42,394503.7,1437881.3,166793.3,1560006.3,166.4,679936.5
Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	Protein translocase subunit SecF	1639.4260,2183990.3,1491.958,1262806.3,2069310.3,572547.3,479430.3,309798.4,1294039.3,1805053.3,1884905.18,2003555.3,1946251.3,525909.11,1946522.3,754252.34,1121911.3,679936.5,266117.10
Flagellar biosynthesis protein FliP	Flagellar biosynthesis protein FliQ	1121447.3,557993.3,2183990.3,1491.958,2023178.18,2597224.3,2030824.4,157176.8,309798.4,159.151,36868.4,1647103.3,489703.3,379066.3,796939.3,795359.3,525909.11,1121911.3,1241833.3,1947072.3,1639.4260,1002870.3,479434.6,518.42,394503.7,1437881.3,126741.4,166793.3,2003555.3,1946798.3,166.4,679936.5
Chromosome (plasmid) partitioning protein ParA	Inner membrane protein translocase and chaperone YidC, short form OxaI-like	2183990.3,2069310.3,479430.3,1294039.3,521095.6,1884905.18,2003555.3,525909.11,1946522.3,926550.5,2702.133,754252.34,679936.5,266117.10
LSU ribosomal protein L9p	Replicative DNA helicase (DnaB) (EC 3.6.4.12)	1121447.3,2490941.3,1882918.15,2183990.3,1521403.3,2200854.3,572547.3,309798.4,525904.6,159.151,1408417.3,1704307.4,1609969.5,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,525909.11,1306947.3,1121911.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,41978.26,1002870.3,1260.19,479434.6,479430.3,518.42,394503.7,454171.5,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,295320.3,583355.3,1491.958,2023178.18,2597224.3,673862.3,1408281.4,655811.4,489703.3,190304.8,796939.3,1946251.3,1423720.4,2162266.3,1079.16,938289.3,166793.3,59620.1701,1946522.3,166.4,243273.25,2100.35,679936.5
Membrane-associated zinc metalloprotease	Undecaprenyl diphosphate synthase (EC 2.5.1.31)	608534.3,1491.958,1423720.4,2023178.18,2200854.3,1260.19,1408281.4,157176.8,1945871.3,655811.4,938289.3,521095.6,379066.3,166.4,1121911.3,679936.5
LSU ribosomal protein L29p (L35e)	LSU ribosomal protein L5p (L11e)	1121447.3,2490941.3,557993.3,247481.57,2183990.3,1737569.3,1521403.3,2200854.3,572547.3,1970770.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,376620.10,583355.3,1491.958,716544.4,2023178.18,1946283.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,489703.3,190304.8,379066.3,796939.3,203907.6,1946251.3,428411.4,481448.7,2702.133,1947072.3,813.178,727.1550,1423720.4,2162266.3,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,926550.5,166.4,1715285.3,243273.25,2100.35,295596.4,679936.5
Acetolactate synthase large subunit (EC 2.2.1.6)	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	1121447.3,2183990.3,1737569.3,2597224.3,1408281.4,157176.8,525904.6,159.151,2067454.3,1294039.3,1609969.5,1647103.3,1946934.3,796939.3,203907.6,1206109.5,525909.11,754252.34,1121911.3,266117.10,1639.4260,608534.3,926569.3,2069310.3,41978.26,1002870.3,1919250.3,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1437881.3,1391995.3,1884905.18,2003555.3,1560006.3,1946522.3,926550.5,1577791.3,376620.10
SSU ribosomal protein S4p (S9e), zinc-independent	SSU ribosomal protein S5p (S2e)	557993.3,247481.57,583355.3,1737569.3,2023178.18,2200854.3,1946283.3,1970770.3,210.5028,655811.4,2067454.3,36868.4,1704307.4,489703.3,521095.6,59196.3,1749045.3,203907.6,1206109.5,428411.4,1241833.3,266117.10,608534.3,727.1550,41978.26,1919250.3,518.42,1971488.3,454171.5,1437881.3,938289.3,1719125.3,456827.3,1548207.7,1972134.3,1715285.3
Imidazolonepropionase (EC 3.5.2.7)	Urocanate hydratase (EC 4.2.1.49)	64091.14,716544.4,2069310.3,572547.3,1002870.3,479430.3,263820.9,309798.4,1437881.3,190304.8,166793.3,379066.3,796939.3,1749045.3,2003555.3,1560006.3,525909.11,1946522.3,266117.10
LSU ribosomal protein L15p (L27Ae)	SSU ribosomal protein S4p (S9e)	1121447.3,557993.3,247481.57,1882918.15,1737569.3,2200854.3,572547.3,1970770.3,210.5028,157176.8,309798.4,159.151,36868.4,1704307.4,1609969.5,521095.6,1805053.3,59196.3,795359.3,1206109.5,525909.11,1306947.3,1121911.3,1241833.3,1961371.3,266117.10,608534.3,926569.3,41978.26,445932.6,1002870.3,479434.6,1123388.3,518.42,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,1972134.3,583355.3,1491.958,2023178.18,1946283.3,2597224.3,673862.3,1408281.4,655811.4,2067454.3,489703.3,1749045.3,203907.6,428411.4,1947072.3,727.1550,1332188.3,1919250.3,1946294.3,1946269.3,1971488.3,1437881.3,938289.3,1719125.3,126741.4,456827.3,1548207.7,926550.5,166.4,1715285.3,1972133.3,679936.5
LSU ribosomal protein L17e (L22p)	SSU ribosomal protein S3e (S3p)	415426.13,406327.12,444157.8,64091.14,349307.15,436308.17,272844.11,374847.13,1435377.6,263820.9,339860.19
LSU ribosomal protein L11p (L12e)	tRNA-Trp	2490941.3,1882918.15,980251.5,1521403.3,2023178.18,2200854.3,1970770.3,2597224.3,1408281.4,159.151,1609969.5,1647103.3,1805053.3,137778.5,2601575.3,754252.34,2605989.3,813.178,2069310.3,518.42,1945871.3,2601646.3,454171.5,163164.29,126741.4,1884905.18,1560006.3,1548207.7
ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)	2490941.3,583355.3,2183990.3,1737569.3,2069310.3,2200854.3,374847.13,210.5028,309798.4,525904.6,1945871.3,394503.7,1408417.3,454171.5,166793.3,2003555.3,1946251.3,2702.133,166.4,754252.34,1947072.3,266117.10
LSU ribosomal protein L23e (L14p)	LSU ribosomal protein L5e (L18p)	415426.13,406327.12,64091.14,1915863.3,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L29p (L35e)	LSU ribosomal protein L6p (L9e)	1121447.3,2490941.3,557993.3,247481.57,2183990.3,1737569.3,1521403.3,2200854.3,572547.3,1970770.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,376620.10,583355.3,1491.958,716544.4,2023178.18,1946283.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,489703.3,190304.8,379066.3,796939.3,203907.6,1946251.3,428411.4,481448.7,2702.133,1947072.3,813.178,727.1550,1423720.4,2162266.3,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,926550.5,166.4,1715285.3,243273.25,2100.35,295596.4,679936.5
Nicotinamide-nucleotide amidase (EC 3.5.1.42)	Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase (EC 2.8.4.4)	608534.3,572547.3,479430.3,394503.7,1947784.3,521095.6,2003555.3,1560006.3,1946798.3,1946522.3,754252.34,1121911.3,679936.5
LSU ribosomal protein L16p (L10e)	SSU ribosomal protein S5p (S2e)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,926569.3,1002870.3,1260.19,394503.7,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,1961371.3,266117.10,608534.3,41978.26,445932.6,479434.6,1123388.3,1560006.3,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L15p (L27Ae)	SSU ribosomal protein S3p (S3e)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1260.19,394503.7,163164.29,1884905.18,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,1947784.3,190304.8,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,2601646.3,1971488.3,938289.3,1719125.3,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,1805053.3,59196.3,795359.3,1206109.5,1121911.3,266117.10,608534.3,41978.26,445932.6,479434.6,1123388.3,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L11p (L12e)	tRNA-Tyr	2605989.3,557993.3,1882918.15,2597224.3,1408281.4,518.42,1971488.3,454171.5,1719125.3,126741.4,428411.4,137778.5,1972134.3,1972133.3,1241833.3
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	N-acetylglutamate synthase (EC 2.3.1.1)	583355.3,2183990.3,980251.5,2200854.3,349741.6,1408281.4,157176.8,159.151,1704307.4,1609969.5,1946251.3,525909.11,481448.7,754252.34,1121911.3,339860.19,1639.4260,2605989.3,2069310.3,41978.26,1002870.3,1919250.3,479430.3,1123388.3,454171.5,1437881.3,126741.4,166793.3,2003555.3,1560006.3,349307.15,1548207.7,926550.5,1577791.3,166.4
SSU ribosomal protein S19p (S15e)	SSU ribosomal protein S3p (S3e)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,2601575.3,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,1961371.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	1294039.3,1639.4260,2183990.3,521095.6,1884905.18,2003555.3,2069310.3,525909.11,2702.133,479430.3,754252.34
MotA/TolQ/ExbB proton channel family protein	putative TonB-dependent receptor	1437881.3,1947784.3,489703.3,190304.8,379066.3,1560006.3,445932.6,572547.3,518.42,2067454.3
AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination	LSU ribosomal protein L19p	1294039.3,2183990.3,521095.6,166793.3,2003555.3,2069310.3,1002870.3,1946283.3,479430.3,754252.34,1946269.3,266117.10
SSU ribosomal protein S4p (S9e), zinc-independent	Translation initiation factor 1	247481.57,1737569.3,2023178.18,1946283.3,1970770.3,210.5028,655811.4,2067454.3,1432327.4,1704307.4,521095.6,190304.8,1749045.3,754252.34,1961371.3,266117.10,608534.3,41978.26,445932.6,1332188.3,1260.19,1919250.3,518.42,1946269.3,454171.5,938289.3,1391995.3,456827.3
LSU ribosomal protein L11p (L12e)	tRNA-Thr	2605989.3,557993.3,813.178,1882918.15,1491.958,980251.5,2023178.18,2200854.3,2597224.3,1408281.4,518.42,1971488.3,454171.5,1719125.3,126741.4,428411.4,137778.5,1548207.7,1972134.3,1972133.3,1241833.3
Efflux ABC transporter, ATP-binding protein	Two-component system sensor histidine kinase	608534.3,2183990.3,1491.958,1423720.4,1521403.3,2069310.3,1919250.3,479434.6,479430.3,655811.4,938289.3,166793.3,2003555.3,1560006.3,754252.34,266117.10
LSU ribosomal protein L7Ae	SSU ribosomal protein S28e	415426.13,406327.12,64091.14,349307.15,397948.10,436308.17,272844.11,374847.13,1577791.3,263820.9,339860.19
SSU ribosomal protein S13p (S18e)	SSU ribosomal protein S8p (S15Ae)	1121447.3,2490941.3,557993.3,247481.57,583355.3,1882918.15,1737569.3,716544.4,2023178.18,1970770.3,210.5028,655811.4,159.151,36868.4,1704307.4,489703.3,1805053.3,59196.3,1749045.3,203907.6,1206109.5,428411.4,1241833.3,2605989.3,813.178,727.1550,1262806.3,1423720.4,1401685.3,1260.19,2162266.3,518.42,1945871.3,1971488.3,1437881.3,163164.29,938289.3,1719125.3,456827.3,37692.4,1972134.3,376620.10,166.4,1715285.3,1972133.3,295320.3
Glutamate racemase (EC 5.1.1.3)	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)	1639.4260,1609969.5,2183990.3,1423720.4,1884905.18,2003555.3,2069310.3,525909.11,1002870.3,479430.3,754252.34,1123388.3
LSU ribosomal protein L16p (L10e)	SSU ribosomal protein S8p (S15Ae)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,1961371.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,1560006.3,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L13p (L13Ae)	SSU ribosomal protein S2p (SAe)	1947784.3,247481.57,379066.3,456827.3,1749045.3,1560006.3,1970770.3,157176.8,1945871.3,295596.4,2067454.3
LSU ribosomal protein L18p (L5e)	SSU ribosomal protein S4p (S9e)	1121447.3,557993.3,247481.57,583355.3,1882918.15,1737569.3,2023178.18,2200854.3,1970770.3,2597224.3,210.5028,655811.4,159.151,36868.4,1704307.4,489703.3,1805053.3,59196.3,1749045.3,203907.6,1206109.5,428411.4,1241833.3,727.1550,1919250.3,518.42,1437881.3,938289.3,1719125.3,456827.3,166.4,1715285.3
